IdConversa,Mensagem
117c77b3487842eda71647425df19f6e,Ola
117c77b3487842eda71647425df19f6e,Tudeo Bem?
6aae0e54d34e48f5b4282073422465f6,Okay!
6aae0e54d34e48f5b4282073422465f6,Olá meu nome é Ryan
6aae0e54d34e48f5b4282073422465f6,qual meu nome?
6aae0e54d34e48f5b4282073422465f6,Meu nome é Ryan
6aae0e54d34e48f5b4282073422465f6,como é o meu nome?
cded7911-a8e5-4c9b-8285-e8fd9c7d73e3,Olá tudo bem? Me chamo Ryan
cded7911-a8e5-4c9b-8285-e8fd9c7d73e3,Quero ver se vc sabe o meu nome
d8651293-ed0a-4dc0-b6ed-024e38ec9e21,Quanto é 2 + 2?
cded7911-a8e5-4c9b-8285-e8fd9c7d73e3,você sabe fazer calculos?
cded7911-a8e5-4c9b-8285-e8fd9c7d73e3,quanto é 2 + 2
19b0860d-8263-4d0b-9b54-d51bdb65809d,Olá me chamo Ryan 
19b0860d-8263-4d0b-9b54-d51bdb65809d,Consegue calcular 2 + 2 ?
6aae0e54d34e48f5b4282073422465f6, oi
6aae0e54d34e48f5b4282073422465f6,tenho 21 anos
6aae0e54d34e48f5b4282073422465f6,quanto é 10 + 10
6aae0e54d34e48f5b4282073422465f6,"qual melhor, dev back-end ou dev front-end"